	rtt	tmp	targetedvscwnd	diff	average	output
363	0.0573399	0.383772	0.36402	1506	0.0583566	1
364	0.0573399	0.383772	0.36402	1506	0.0573399	1
365	0.0573399	0.383772	0.36402	1506	0.0573399	1
366	0.0573399	0.383772	0.36402	1506	0.0573399	1
367	0.0573399	0.383772	0.36402	1506	0.0573399	1
368	0.0573399	0.383772	0.36402	1506	0.0573399	1
369	0.0536229	0.410375	0.383446	1460	0.0561009	1
370	0.0536229	0.410375	0.383446	1460	0.0548619	1
371	0.0536229	0.410375	0.383446	1460	0.0536229	1
372	0.0536229	0.410375	0.383446	1460	0.0536229	1
373	0.0536229	0.410375	0.383446	1460	0.0536229	1
374	0.0536229	0.410375	0.383446	1460	0.0536229	1
375	0.0652859	0.337063	0.410051	1397	0.0575106	1
376	0.0652859	0.337063	0.410051	1397	0.0613982	1
377	0.0652859	0.337063	0.410051	1397	0.0652859	1
378	0.0652859	0.337063	0.410051	1397	0.0652859	1
379	0.0652859	0.337063	0.410051	1397	0.0652859	1
380	0.0652859	0.337063	0.410051	1397	0.0652859	1
381	0.0221349	0.994151	0.336961	1462	0.0509023	0
382	0.0221349	0.994151	0.336961	1462	0.0365186	0
383	0.0221762	0.992299	0.993792	14	0.0221487	0
384	0.0221762	0.992299	0.993792	14	0.0221625	0
385	0.0221743	0.992387	0.991932	19	0.0221756	0
386	0.0221743	0.992387	0.991932	19	0.0221749	0
387	0.0221743	0.992387	0.991932	19	0.0221743	0
388	0.0221349	0.994151	0.99236	18	0.0221612	0
389	0.0221349	0.994151	0.99236	18	0.022148	0
390	0.0221743	0.992387	0.99406	14	0.022148	0
391	0.0221743	0.992387	0.99406	14	0.0221612	0
392	0.0221743	0.992387	0.992366	18	0.0221743	0
393	0.0221743	0.992387	0.992366	18	0.0221743	0
394	0.0221743	0.992387	0.992366	18	0.0221743	0
395	0.0221743	0.992387	0.99237	18	0.0221743	0
396	0.0221743	0.992387	0.99237	18	0.0221743	0
397	0.0221743	0.992387	0.992373	18	0.0221743	0
398	0.0221743	0.992387	0.992373	18	0.0221743	0
399	0.0221743	0.992387	0.992376	18	0.0221743	0
400	0.0221743	0.992387	0.992376	18	0.0221743	0
401	0.0221743	0.992387	0.992379	18	0.0221743	0
402	0.0221743	0.992387	0.992379	18	0.0221743	0
403	0.0221743	0.992387	0.992379	18	0.0221743	0
404	0.0221743	0.992387	0.992383	18	0.0221743	0
405	0.0221743	0.992387	0.992383	18	0.0221743	0
406	0.0221743	0.992387	0.992386	18	0.0221743	0
407	0.0221743	0.992387	0.992386	18	0.0221743	0
408	0.0221743	0.992387	0.991966	19	0.0221743	0
409	0.0221743	0.992387	0.991966	19	0.0221743	0
410	0.0221743	0.992387	0.99197	19	0.0221743	0
411	0.0221743	0.992387	0.99197	19	0.0221743	0
412	0.0221743	0.992387	0.99197	19	0.0221743	0
413	0.0221743	0.992387	0.991973	19	0.0221743	0
414	0.0221743	0.992387	0.991973	19	0.0221743	0
415	0.0221743	0.992387	0.991976	19	0.0221743	0
416	0.0221743	0.992387	0.991976	19	0.0221743	0
417	0.0221743	0.992387	0.99198	19	0.0221743	0
418	0.0221743	0.992387	0.99198	19	0.0221743	0
419	0.0221743	0.992387	0.99198	19	0.0221743	0
420	0.0221743	0.992387	0.991983	19	0.0221743	0
421	0.0221743	0.992387	0.991983	19	0.0221743	0
422	0.0221743	0.992387	0.991987	19	0.0221743	0
423	0.0221743	0.992387	0.991987	19	0.0221743	0
424	0.0221743	0.992387	0.99199	19	0.0221743	0
425	0.0221743	0.992387	0.99199	19	0.0221743	0
426	0.0221743	0.992387	0.991993	19	0.0221743	0
427	0.0221743	0.992387	0.991993	19	0.0221743	0
428	0.0221743	0.992387	0.991993	19	0.0221743	0
429	0.0221743	0.992387	0.991997	19	0.0221743	0
430	0.0221743	0.992387	0.991997	19	0.0221743	0
431	0.0221743	0.992387	0.992	19	0.0221743	0
432	0.0221743	0.992387	0.992	19	0.0221743	0
433	0.0221743	0.992387	0.992003	19	0.0221743	0
434	0.0221743	0.992387	0.992003	19	0.0221743	0
435	0.0221743	0.992387	0.992007	19	0.0221743	0
436	0.0221743	0.992387	0.992007	19	0.0221743	0
437	0.0221743	0.992387	0.992007	19	0.0221743	0
438	0.0221743	0.992387	0.99201	19	0.0221743	0
439	0.0221743	0.992387	0.99201	19	0.0221743	0
440	0.0221743	0.992387	0.992013	19	0.0221743	0
441	0.0221743	0.992387	0.992013	19	0.0221743	0
442	0.0221743	0.992387	0.992017	19	0.0221743	0
443	0.0221743	0.992387	0.992017	19	0.0221743	0
444	0.0221743	0.992387	0.992017	19	0.0221743	0
445	0.0221743	0.992387	0.99202	19	0.0221743	0
446	0.0221743	0.992387	0.99202	19	0.0221743	0
447	0.0221743	0.992387	0.992024	19	0.0221743	0
448	0.0221743	0.992387	0.992024	19	0.0221743	0
449	0.0221743	0.992387	0.992027	19	0.0221743	0
450	0.0221743	0.992387	0.992027	19	0.0221743	0
451	0.0221743	0.992387	0.99203	19	0.0221743	0
452	0.0221743	0.992387	0.99203	19	0.0221743	0
453	0.0221743	0.992387	0.99203	19	0.0221743	0
454	0.0221743	0.992387	0.992034	19	0.0221743	0
455	0.0221743	0.992387	0.992034	19	0.0221743	0
456	0.0221743	0.992387	0.992037	19	0.0221743	0
457	0.0221743	0.992387	0.992037	19	0.0221743	0
458	0.0221743	0.992387	0.99204	19	0.0221743	0
459	0.0221743	0.992387	0.99204	19	0.0221743	0
460	0.0221743	0.992387	0.99204	19	0.0221743	0
461	0.0221743	0.992387	0.992044	19	0.0221743	0
462	0.0221743	0.992387	0.992044	19	0.0221743	0
463	0.0221743	0.992387	0.992047	19	0.0221743	0
464	0.0221743	0.992387	0.992047	19	0.0221743	0
465	0.0221743	0.992387	0.99205	19	0.0221743	0
466	0.0221743	0.992387	0.99205	19	0.0221743	0
467	0.0221743	0.992387	0.992054	19	0.0221743	0
468	0.0221743	0.992387	0.992054	19	0.0221743	0
469	0.0221743	0.992387	0.992054	19	0.0221743	0
470	0.0221743	0.992387	0.992057	19	0.0221743	0
471	0.0221743	0.992387	0.992057	19	0.0221743	0
472	0.0221743	0.992387	0.99206	19	0.0221743	0
473	0.0221743	0.992387	0.99206	19	0.0221743	0
474	0.0221743	0.992387	0.992063	19	0.0221743	0
475	0.0221743	0.992387	0.992063	19	0.0221743	0
476	0.0221743	0.992387	0.992063	19	0.0221743	0
477	0.0221743	0.992387	0.992063	19	0.0221743	0
478	0.0221743	0.992387	0.992067	19	0.0221743	0
479	0.0221743	0.992387	0.992067	19	0.0221743	0
480	0.0221743	0.992387	0.992067	19	0.0221743	0
481	0.0221743	0.992387	0.992067	19	0.0221743	0
482	0.0221743	0.992387	0.992067	19	0.0221743	0
483	0.0221743	0.992387	0.992067	19	0.0221743	0
484	0.0221743	0.992387	0.992067	19	0.0221743	0
485	0.0221743	0.992387	0.992067	19	0.0221743	0
486	0.0378467	0.581437	0.99207	19	0.0273984	1
487	0.0378467	0.581437	0.99207	19	0.0326225	1
488	0.0378467	0.581437	0.99207	19	0.0378467	1
489	0.0378467	0.581437	0.99207	19	0.0378467	1
490	0.0378467	0.581437	0.99207	19	0.0378467	1
491	0.0378467	0.581437	0.99207	19	0.0378467	1
492	0.0378467	0.581437	0.99207	19	0.0378467	1
493	0.0378467	0.581437	0.99207	19	0.0378467	1
494	0.0378467	0.581437	0.99207	19	0.0378467	1
495	0.0378467	0.581437	0.99207	19	0.0378467	1
496	0.0378467	0.581437	0.99207	19	0.0378467	1
497	0.0378467	0.581437	0.99207	19	0.0378467	1
498	0.0378467	0.581437	0.99207	19	0.0378467	1
499	0.0378467	0.581437	0.99207	19	0.0378467	1
500	0.0378467	0.581437	0.99207	19	0.0378467	1
501	0.0378467	0.581437	0.99207	19	0.0378467	1
502	0.0378467	0.581437	0.99207	19	0.0378467	1
503	0.0378467	0.581437	0.99207	19	0.0378467	1
504	0.0378467	0.581437	0.99207	19	0.0378467	1
505	0.0378467	0.581437	0.99207	19	0.0378467	1
506	0.0378467	0.581437	0.99207	19	0.0378467	1
507	0.0378467	0.581437	0.99207	19	0.0378467	1
508	0.0378467	0.581437	0.99207	19	0.0378467	1
509	0.0378467	0.581437	0.99207	19	0.0378467	1
510	0.0378467	0.581437	0.99207	19	0.0378467	1
511	0.0378467	0.581437	0.99207	19	0.0378467	1
512	0.0378467	0.581437	0.99207	19	0.0378467	1
